datetime,MS_pres,MS_temp,R_av,i_av,Therm_temp
2022/3/10 22:7:38,6.01,1219.36,400.397,0.0007,-64.35
2022/3/10 22:10:14,6.01,1221.08,412.682,0.0007,-64.14
2022/3/10 22:12:49,6.01,1222.97,414.049,0.0007,-64.35
2022/3/10 22:15:25,6.00,1224.48,419.030,0.0007,-64.61
2022/3/10 22:18:1,6.00,1226.09,417.507,0.0007,-64.40
2022/3/10 22:20:37,6.00,1227.87,415.641,0.0007,-64.57
2022/3/10 22:23:13,5.99,1229.20,409.194,0.0007,-64.35
2022/3/10 22:25:48,5.99,1230.63,411.970,0.0007,-64.31
2022/3/10 22:28:24,5.99,1232.52,410.864,0.0007,-64.40
2022/3/10 22:31:0,5.99,1234.27,411.917,0.0007,-64.57
2022/3/10 22:33:36,5.99,1235.87,412.189,0.0007,-64.66
2022/3/10 22:36:12,5.99,1237.39,414.767,0.0007,-64.14
2022/3/10 22:38:48,5.99,1239.05,415.134,0.0007,-64.57
2022/3/10 22:41:23,5.98,1240.17,420.599,0.0007,-63.85
2022/3/10 22:43:59,5.99,1241.01,420.068,0.0007,-64.66
2022/3/10 22:46:35,5.98,1242.54,419.190,0.0007,-63.89
2022/3/10 22:49:11,5.99,1244.19,421.665,0.0007,-64.10
2022/3/10 22:51:47,5.98,1245.14,429.083,0.0007,-64.31
2022/3/10 22:54:22,5.98,1245.79,414.691,0.0007,-63.81
2022/3/10 22:56:58,5.98,1247.17,395.897,0.0007,-64.31
2022/3/10 22:59:34,5.98,1249.07,392.950,0.0007,-64.06
2022/3/10 23:2:10,5.98,1250.89,390.105,0.0007,-63.60
2022/3/10 23:4:46,5.98,1251.76,407.010,0.0007,-64.06
2022/3/10 23:7:21,5.98,1252.33,405.249,0.0007,-63.85
2022/3/10 23:9:57,5.98,1252.93,408.583,0.0007,-64.66
2022/3/10 23:12:33,5.98,1254.12,416.204,0.0007,-64.23
2022/3/10 23:15:9,5.98,1255.88,418.011,0.0007,-63.93
2022/3/10 23:17:45,5.98,1256.84,421.573,0.0007,-64.14
2022/3/10 23:20:20,5.99,1257.89,418.941,0.0007,-63.68
2022/3/10 23:22:56,5.98,1258.81,421.747,0.0007,-63.97
2022/3/10 23:25:32,5.99,1259.99,424.226,0.0007,-64.10
2022/3/10 23:28:8,5.99,1260.97,427.348,0.0007,-63.60
2022/3/10 23:30:44,5.99,1261.41,428.626,0.0007,-63.97
2022/3/10 23:33:20,5.99,1261.86,428.187,0.0007,-63.56
2022/3/10 23:35:55,6.00,1262.14,432.922,0.0007,-63.52
2022/3/10 23:38:31,6.00,1263.02,419.707,0.0007,-64.01
2022/3/10 23:41:7,6.00,1263.98,417.738,0.0007,-63.85
2022/3/10 23:43:43,6.01,1264.84,417.006,0.0007,-63.85
2022/3/10 23:46:19,6.01,1265.17,416.287,0.0007,-63.52
2022/3/10 23:48:54,6.02,1265.41,414.837,0.0007,-63.93
2022/3/10 23:51:30,6.03,1266.34,420.949,0.0007,-64.06
2022/3/10 23:54:6,6.03,1267.18,418.356,0.0008,-63.56
2022/3/10 23:56:42,6.04,1267.52,419.647,0.0007,-63.28
2022/3/10 23:59:18,6.05,1267.51,418.638,0.0008,-63.52
2022/3/11 0:1:53,6.06,1267.26,412.438,0.0008,-64.40
2022/3/11 0:4:29,6.07,1268.12,403.943,0.0008,-63.44
2022/3/11 0:7:5,6.08,1269.54,402.636,0.0008,-63.64
2022/3/11 0:9:41,6.08,1269.57,404.813,0.0008,-63.48
2022/3/11 0:12:17,6.09,1269.94,401.757,0.0008,-63.68
2022/3/11 0:14:53,6.10,1270.95,400.379,0.0008,-63.81
2022/3/11 0:17:28,6.09,1271.67,405.266,0.0008,-63.93
2022/3/11 0:20:4,6.10,1272.08,403.714,0.0008,-64.01
2022/3/11 0:22:40,6.11,1272.25,403.223,0.0008,-63.64
2022/3/11 0:25:16,6.11,1271.77,404.702,0.0008,-63.40
2022/3/11 0:27:52,6.11,1272.87,413.829,0.0008,-63.52
